start_tz,start,end_tz,end,activity
UTC,1471418811,UTC,1471421331,work
UTC,1471423546,UTC,1471428710,work
UTC,1471431416,UTC,1471436929,work
UTC,1471448766,UTC,1471452310,work
UTC,1471464378,UTC,1471468285,work
UTC,1471508514,UTC,1471516225,work
UTC,1471518726,UTC,1471537146,work
UTC,1471541819,UTC,1471546659,work
UTC,1471547091,UTC,1471551432,work
UTC,1471590008,UTC,1471626008,work
UTC,1471682800,UTC,1471720558,work
UTC,1471856892,UTC,1471859285,work
UTC,1471859864,UTC,1471861239,work
UTC,1471866025,UTC,1471966736,work
UTC,1472038894,UTC,1472045386,work
UTC,1472202890,UTC,1472215456,work
UTC,1472216760,UTC,1472220896,work
UTC,1472223351,UTC,1472241300,work
UTC,1472459749,UTC,1472470039,work
UTC,1472474371,UTC,1472485934,work
UTC,1472547059,UTC,1472580713,work
UTC,1472630488,UTC,1472660344,work
UTC,1472673153,UTC,1472676753,work
UTC,1472712833,UTC,1472730833,work
UTC,1472804787,UTC,1472810235,work
UTC,1472815462,UTC,1472823280,work
UTC,1473144072,UTC,1473172193,work
UTC,1473234159,UTC,1473275780,work
UTC,1473423673,UTC,1473466532,work
UTC,1473662910,UTC,1473677899,work
UTC,1473682594,UTC,1473694372,work
UTC,1473772882,UTC,1473778000,work
UTC,1473841482,UTC,1473844498,work
UTC,1473846231,UTC,1473850339,work
UTC,1473854616,UTC,1473865755,work
UTC,1473923974,UTC,1473952329,work
UTC,1473960891,UTC,1473965000,work
UTC,1474011560,UTC,1474039019,work
UTC,1474444770,UTC,1474453595,work
UTC,1474461258,UTC,1474483406,work
UTC,1474966827,UTC,1474967699,uni
UTC,1474998549,UTC,1475008549,work
UTC,1475064435,UTC,1475076731,uni
UTC,1475076732,UTC,1475091475,work
UTC,1475229972,UTC,1475263008,uni
UTC,1475318442,UTC,1475321068,uni
UTC,1475323385,UTC,1475336001,uni
UTC,1475348809,UTC,1475418182,uni
UTC,1475410214,UTC,1475420951,uni
UTC,1475480830,UTC,1475481184,work
UTC,1475485805,UTC,1475490884,work
UTC,1475518956,UTC,1475521842,uni
UTC,1475531839,UTC,1475534709,uni
UTC,1475562352,UTC,1475570841,work
UTC,1475574396,UTC,1475581030,work
UTC,1475581030,UTC,1475581365,work
UTC,1475590046,UTC,1475592144,uni
UTC,1475598379,UTC,1475599215,work
UTC,1475651553,UTC,1475663167,work
UTC,1475666479,UTC,1475669423,uni
UTC,1475669556,UTC,1475671526,work
UTC,1475672974,UTC,1475676548,uni
UTC,1475676820,UTC,1475681011,work
